periodo,valor_total
Acre,15958919.0
Alagoas,66818232.0
Amapá,14787038.0
Amazonas,77430049.0
Bahia,304151168.0
Ceará,181033868.0
Distrito Federal,56547375.0
Espírito Santo,77934558.0
Goiás,132575512.0
Maranhão,138660423.0
Mato Grosso,66442286.0
Mato Grosso do Sul,53141867.0
Minas Gerais,424146033.0
Paraná,227968912.0
Paraíba,80667394.0
Pará,163338066.0
Pernambuco,188996096.0
Piauí,66154183.0
Rio Grande do Norte,68424755.0
Rio Grande do Sul,231322440.0
Rio de Janeiro,340970844.0
Rondônia,34601370.0
Roraima,10431264.0
Santa Catarina,138202839.0
Sergipe,44697687.0
São Paulo,900116468.0
Tocantins,29977226.0
Unidade da Federação,0.0
